month,local_time_h,day_from_equinox,solar_altitude_rad,solar_azimuth_rad,dni_kw_m2,eta_cos,eta_at,eta_sb,eta_trunc,eta_total,power_kw,power_per_area_kw_m2,time_geometry_s,time_candidates_s,time_shadow_blocking_s,time_truncation_s,time_total_s,average_candidates,maximum_candidates
1,9.0,-59,0.304226866416981,-2.369727639276808,0.7925396841601169,0.7024362414633658,0.9651603367995297,0.8851250486398528,0.9536075943024424,0.5090233951046814,25342.922346200052,0.4034212407863746,0.0003090999998676125,0.3704416999999012,0.37574359999962326,0.5717872000004718,1.3182815999998638,39.46590257879656,91
1,10.5,-59,0.47483723905389424,-2.7246850308913984,0.9100911454852126,0.7285806317918255,0.9651603367995297,0.9308500477554918,0.9410799196858859,0.5552508770824879,31744.76192239121,0.5053289067556703,0.0003479999995761318,0.3699596999995265,0.3918888000007428,0.5636556999997993,1.3258521999996447,39.48710601719198,94
1,12.0,-59,0.5381505523349126,3.141592653589793,0.9391840362887128,0.7376450687803956,0.9651603367995297,0.9352647776716545,0.9393069103174235,0.5649533253231604,33331.98697068886,0.530595144391736,0.00045140000020182924,0.3654559999995399,0.3813051000006453,0.5840137000004688,1.331226200000856,39.31404011461318,95
1,13.5,-59,0.47483723905389424,2.7246850308913984,0.9100911454852126,0.7285806332659793,0.9651603367995297,0.9320740033251972,0.9408689889270642,0.5565384741075466,31818.376323915872,0.5065007374071294,0.0002961999998660758,0.40061770000011165,0.3994951000004221,0.6105897999996159,1.4109988000000158,39.48424068767908,89
1,15.0,-59,0.304226866416981,2.369727639276808,0.7925396841601169,0.7024362458493735,0.9651603367995297,0.8871696911811525,0.953537711642068,0.5116365624661324,25473.02500583371,0.4054922796216764,0.0003484999997453997,0.3963628000001336,0.406981199999791,0.5978445000000647,1.4015369999997347,39.459598853868194,96
2,9.0,-28,0.4333788534250889,-2.2693625614641735,0.8875714408097994,0.7224441368523334,0.9651603367995297,0.925303335809544,0.9429890242063993,0.5481741699103392,30564.677608723876,0.4865437378020356,0.00028899999961140566,0.38973989999976766,0.3943098999998256,0.6019175999999788,1.3862563999991835,39.458452722063036,90
2,10.5,-28,0.6243531094531736,-2.659569300762274,0.9708000370097122,0.7493379441013761,0.9651603367995297,0.9349605575011496,0.9381220943091703,0.5740766605011821,35010.443069653484,0.5573136432609597,0.00029999999969732016,0.37768730000061623,0.3978760999998485,0.5911074999994526,1.3669708999996146,39.49111747851003,90
2,12.0,-28,0.6976048393000404,3.141592653589793,0.9921771917861091,0.7586375961506563,0.9651603367995297,0.9373306448760126,0.936814384272601,0.5831123018202026,36344.556614600995,0.5785507261159025,0.0002861000002667424,0.36379000000033557,0.3913669999992635,0.596900700000333,1.3523438000001988,39.31404011461318,95
2,13.5,-28,0.6243531094531736,2.659569300762274,0.9708000370097122,0.7493379462981538,0.9651603367995297,0.9360217906540734,0.9379569510840366,0.5753460335251653,35087.85661918103,0.5585459506396216,0.0003894000001309905,0.3866485999997167,0.4079697999995915,0.6224789999996574,1.4174867999990965,39.48882521489971,93
2,15.0,-28,0.4333788534250889,2.2693625614641735,0.8875714408097994,0.7224441426163722,0.9651603367995297,0.9264919169408186,0.9427866108264923,0.550062610391134,30669.971833893585,0.4882198636404582,0.00034779999987222254,0.38498729999992065,0.40861339999992197,0.6394484000002194,1.4333968999999342,39.45616045845272,93
