month,local_time_h,day_from_equinox,solar_altitude_rad,solar_azimuth_rad,dni_kw_m2,eta_cos,eta_at,eta_sb,eta_trunc,eta_total,power_kw,power_per_area_kw_m2,time_geometry_s,time_candidates_s,time_shadow_blocking_s,time_truncation_s,time_total_s,average_candidates,maximum_candidates
1,9.0,-59,0.304226866416981,-2.369727639276808,0.7925396841601169,0.7387865553962902,0.9636159445900108,0.6530422272996531,0.915334403316229,0.3649528905095153,41592.592047962346,0.289239648577733,0.0004813999994439655,0.6302599999999074,0.7182586999997511,0.6859529000003022,2.0349529999994047,69.93907083015993,174
1,10.5,-59,0.47483723905389424,-2.7246850308913984,0.9100911454852126,0.7695812023959583,0.9636159445900108,0.7006666478613673,0.9045481489497198,0.41224619011449354,53951.02509812043,0.37518160738321416,0.000517000000400003,0.6353506000004927,0.7431900000001406,0.7322541000003184,2.1113117000013517,70.88309215536938,162
1,12.0,-59,0.5381505523349126,3.141592653589793,0.9391840362887128,0.7802247083085647,0.9636159445900108,0.7470734252912471,0.8850181418684164,0.43691313022530814,59007.057700494464,0.41034183715254086,0.00039430000015272526,0.6334773999997196,0.6850330000006579,0.7384521000003588,2.057356800000889,62.33815689261234,149
1,13.5,-59,0.47483723905389424,2.7246850308913984,0.9100911454852126,0.7696600113664276,0.9636159445900108,0.7005632187150339,0.9045907323590762,0.41220830460064856,53946.06698726988,0.3751471281125217,0.0004731999997602543,0.6590494000001854,0.7390086000004885,0.7089461000005031,2.1074773000009372,70.93221629855293,162
1,15.0,-59,0.304226866416981,2.369727639276808,0.7925396841601169,0.7389555933738967,0.9636159445900108,0.652778953108986,0.9149041726234247,0.3644950473137999,41540.413024980124,0.2888767896760059,0.000471599999400496,0.656087700000171,0.7269435000007434,0.6769961999998486,2.0604990000001635,70.05521706016755,164
2,9.0,-28,0.4333788534250889,-2.2693625614641735,0.8875714408097994,0.751609725022598,0.9636159445900108,0.731413312271398,0.9018821038597069,0.4178822564165892,53335.38223661035,0.37090035641652214,0.0004729000002043904,0.6381574000006367,0.7397828000002846,0.7386938999998165,2.117107000000942,70.47486671744097,183
2,10.5,-28,0.6243531094531736,-2.659569300762274,0.9708000370097122,0.7835530287196532,0.9636159445900108,0.7423344898592424,0.8817348846761116,0.43838148216339246,61198.41102043362,0.4255807591085939,0.0004023000001325272,0.6704410000002099,0.7533918999997695,0.7900989000008849,2.214334100000997,70.70297029702971,163
2,12.0,-28,0.6976048393000404,3.141592653589793,0.9921771917861091,0.7945675264204619,0.9636159445900108,0.7517230355514184,0.8738558669387465,0.4471747507404436,63800.58693346547,0.4436765884273066,0.000397799999518611,0.6547893000006297,0.7134091999996599,0.7794896999994307,2.148085999999239,62.33815689261234,149
2,13.5,-28,0.6243531094531736,2.659569300762274,0.9708000370097122,0.783644227253439,0.9636159445900108,0.7419818904967419,0.8817106098184466,0.43819284422954063,61172.077011631656,0.42539762939542913,0.00041369999962626025,0.6895706000004793,0.765963499999998,0.7793984999998429,2.2353462999999465,70.75894897182026,164
2,15.0,-28,0.4333788534250889,2.2693625614641735,0.8875714408097994,0.7518028746271335,0.9636159445900108,0.7309337771383976,0.9016643314652573,0.4175575141671452,53293.93455191802,0.3706121244702913,0.00048150000020541484,0.6777207000004637,0.8117615999999543,0.7798939000003884,2.269857700001012,70.61462300076161,169
3,9.0,0,0.5780659471500635,-2.13636228494298,0.9548220128815966,0.7636616932918505,0.9636159445900108,0.762996812501763,0.881714289311651,0.4371682670612474,60024.59164292966,0.41741788472337965,0.00047420000009879004,0.7024257000002763,0.7731008999999176,0.7863115000000107,2.2623123000003034,70.6043412033511,177
3,10.5,0,0.7950701564030589,-2.5634046203904832,1.0147803402321796,0.7959212237624441,0.9636159445900108,0.7515114759339182,0.8722817539978621,0.45023541326524863,65700.67894075287,0.45689004585788506,0.00038949999998294516,0.6657242999999653,0.7725544999993872,0.7788772000003519,2.2175454999996873,70.73914699162223,164
3,12.0,0,0.8831366015091309,3.141592653589793,1.030801341050838,0.807031417876788,0.9636159445900108,0.7507733679350841,0.8693430531987222,0.456190799463239,67620.69937642012,0.4702420878617608,0.00048570000035397243,0.6505656999997882,0.7111998999998832,0.7950914999992165,2.157342799999242,62.33815689261234,149
3,13.5,0,0.7950701564030589,2.5634046203904832,1.0147803402321796,0.7960223997218183,0.9636159445900108,0.7517841527742518,0.8720728787922197,0.45033365116782115,65715.0143233251,0.45698973575008117,0.00042380000013508834,0.6822720000000118,0.7777259000004051,0.81348749999961,2.273909200000162,70.7985529322163,165
3,15.0,0,0.5780659471500635,2.13636228494298,0.9548220128815966,0.7638723655460364,0.9636159445900108,0.7626771224130959,0.8816998597320745,0.4371078972923144,60016.30268190296,0.41736024233908986,0.00042779999967024196,0.6789484999999331,0.7602950000000419,0.7818295000006401,2.2215008000002854,70.74067022086824,165
4,9.0,31,0.7255922418092149,-1.9589018883971145,0.9992774792374354,0.7728578646933832,0.9636159445900108,0.7651829285492652,0.8754375485568903,0.44507964561899205,63956.10319689868,0.4447580663340375,0.0003567000003386056,0.6675740000000587,0.7601457999999184,0.7894897000005585,2.2175662000008742,70.74600152322924,168
