candidate,tower_y_m,width_m,height_m,installation_height_m,spacing_gap_m,lattice_angle_rad,mirror_count,total_area_m2,field_center_margin_min_m,tower_exclusion_margin_min_m,dimension_margin_min_m,installation_margin_min_m,spacing_margin_min_m,nearest_distance_min_m,tower_inside_field_margin_m,all_geometric_constraints_pass,screen_eta_cos,screen_eta_at,screen_eta_sb,screen_eta_trunc,screen_eta_total,screen_power_kw,screen_power_per_area_kw_m2
1,50.0,6.0,6.0,4.0,0.05,0.0,3337,120132.0,0.0774758939809885,0.1184768284953747,0.0,1.0,0.0499999999999261,11.049999999999926,300.0,True,0.7735886793136549,0.9636078802263024,0.78986725712827,0.972262236313298,0.5104773635987112,58860.15235288839,0.4899623110652316
2,50.0,6.2,6.2,4.0,0.05,0.0,3219,123738.36,0.0811883775789965,0.155611036039744,0.0,0.8999999999999999,0.0499999999999403,11.24999999999994,300.0,True,0.7735801404898218,0.96359700681031,0.7806570938754848,0.9678121397846358,0.5014139202222121,59558.348882078506,0.4813248606339902
3,50.0,6.4,6.4,4.0,0.05,0.0,3107,127262.72000000006,0.0600554708407798,0.0892103961445371,0.0,0.7999999999999998,0.0499999999999278,11.449999999999928,300.0,True,0.7740300881211368,0.9636417828474956,0.7718711630845521,0.96174929802769,0.4922111724820917,60137.3548719087,0.4725449438131502
4,50.0,6.5,6.5,4.0,0.05,0.0,3054,129031.5,0.1052812215816629,0.1146020245086703,0.0,0.75,0.0499999999999172,11.549999999999915,300.0,True,0.7738503180328408,0.9636413819282432,0.7677302384244099,0.958488605640175,0.4875062074186667,60393.56980372072,0.4680529157897158
5,50.0,6.6,6.6,4.0,0.05,0.0,2998,130592.88,0.2230687079242557,0.4619976644035546,0.0,0.7000000000000002,0.0499999999999634,11.649999999999965,300.0,True,0.7735702086668659,0.963595861439885,0.7631723618214612,0.9556071993321829,0.4826371204870128,60512.69838112781,0.4633690472338754
6,50.0,6.7,6.7,4.0,0.05,0.0,2949,132380.61,0.1568104302123742,0.18644702074711,0.0,0.6499999999999999,0.0499999999999793,11.74999999999998,300.0,True,0.7736305842123734,0.9636196468998038,0.7594131092774701,0.9518514625811896,0.4781945636734757,60776.50535084395,0.4591042853696168
7,50.0,7.0,7.0,4.0,0.05,0.0,2809,137641.0,0.074349006795785,0.1749344547948794,0.0,0.5,0.0499999999999545,12.049999999999956,300.0,True,0.7741135703915747,0.9636152667595552,0.7477717126168533,0.939928020276581,0.4646221485543971,61392.51885793777,0.4460336589965037
8,50.0,7.4,7.4,4.0,0.05,0.0,2626,143799.76,0.0509432596970782,0.1364619786205168,0.0,0.2999999999999998,0.0499999999999136,12.449999999999914,300.0,True,0.773555925021168,0.9636159445900108,0.7324476037347324,0.9230592013610048,0.4458329357991716,61536.83262499026,0.4279341817051034
9,-75.0,8.0,8.0,4.05,0.05,0.0,2391,153024.0,0.0669159406090216,0.2955361374207541,0.0,0.0499999999999998,0.049999999999942,13.049999999999942,275.0,True,0.7064479911966394,0.963105817806356,0.7498334804901096,0.8950266502344234,0.4052003792517324,59574.04012571133,0.3893117427704892
10,0.0,8.0,8.0,4.05,0.05,0.0,2395,153280.0,0.0669159406090216,0.1750534636720289,0.0,0.0499999999999998,0.049999999999942,13.049999999999942,350.0,True,0.7475644088193077,0.9640211531748318,0.729525245496018,0.8946658188907667,0.4147180310916505,61038.96598530202,0.3982187238080768
11,75.0,8.0,8.0,4.05,0.05,0.0,2393,153152.0,0.0669159406090216,0.1106758648256658,0.0,0.0499999999999998,0.049999999999942,13.049999999999942,275.0,True,0.7861849833096121,0.9631317307642386,0.6980467722214484,0.8914892805104583,0.4157568575062174,61076.969434056926,0.3987996855023567
12,150.0,8.0,8.0,4.05,0.05,0.0,2391,153024.0,0.0669159406090216,0.0668282644649309,0.0,0.0499999999999998,0.049999999999942,13.049999999999942,200.0,True,0.8207283793849253,0.9605106010157252,0.6509054014281953,0.8853900903267574,0.4035255116387362,59176.89209176678,0.3867164110973884
