mirror_id,zone,width_m,height_m,installation_height_m,x_m,y_m
1,4,6.36,6.36,3.23,-72.79999999999973,-339.99740658628974
2,4,6.36,6.36,3.23,-61.249999999999716,-339.99740658628974
3,4,6.36,6.36,3.23,-49.699999999999704,-339.99740658628974
4,4,6.36,6.36,3.23,-38.14999999999969,-339.99740658628974
5,4,6.36,6.36,3.23,-26.59999999999968,-339.99740658628974
6,4,6.36,6.36,3.23,-15.04999999999967,-339.99740658628974
7,4,6.36,6.36,3.23,-3.499999999999659,-339.99740658628974
8,4,6.36,6.36,3.23,8.050000000000352,-339.99740658628974
9,4,6.36,6.36,3.23,19.600000000000364,-339.99740658628974
10,4,6.36,6.36,3.23,31.150000000000375,-339.99740658628974
11,4,6.36,6.36,3.23,42.70000000000039,-339.99740658628974
12,4,6.36,6.36,3.23,54.2500000000004,-339.99740658628974
13,4,6.36,6.36,3.23,65.80000000000041,-339.99740658628974
14,4,6.36,6.36,3.23,77.35000000000042,-339.99740658628974
15,4,6.36,6.36,3.23,-113.22499999999977,-329.9948131725795
16,4,6.36,6.36,3.23,-101.67499999999976,-329.9948131725795
17,4,6.36,6.36,3.23,-90.12499999999974,-329.9948131725795
18,4,6.36,6.36,3.23,-78.57499999999973,-329.9948131725795
19,4,6.36,6.36,3.23,-67.02499999999972,-329.9948131725795
20,4,6.36,6.36,3.23,-55.47499999999972,-329.9948131725795
21,4,6.36,6.36,3.23,-43.924999999999706,-329.9948131725795
22,4,6.36,6.36,3.23,-32.374999999999694,-329.9948131725795
23,4,6.36,6.36,3.23,-20.824999999999683,-329.9948131725795
24,4,6.36,6.36,3.23,-9.27499999999967,-329.9948131725795
25,4,6.36,6.36,3.23,2.2750000000003414,-329.9948131725795
26,4,6.36,6.36,3.23,13.825000000000353,-329.9948131725795
27,4,6.36,6.36,3.23,25.375000000000362,-329.9948131725795
28,4,6.36,6.36,3.23,36.925000000000374,-329.9948131725795
29,4,6.36,6.36,3.23,48.475000000000385,-329.9948131725795
30,4,6.36,6.36,3.23,60.0250000000004,-329.9948131725795
31,4,6.36,6.36,3.23,71.57500000000041,-329.9948131725795
32,4,6.36,6.36,3.23,83.12500000000043,-329.9948131725795
33,4,6.36,6.36,3.23,94.67500000000044,-329.9948131725795
34,4,6.36,6.36,3.23,106.22500000000045,-329.9948131725795
35,4,6.36,6.36,3.23,-130.54999999999978,-319.9922197588692
36,4,6.36,6.36,3.23,-118.99999999999977,-319.9922197588692
37,4,6.36,6.36,3.23,-107.44999999999976,-319.9922197588692
38,4,6.36,6.36,3.23,-95.89999999999975,-319.9922197588692
39,4,6.36,6.36,3.23,-84.34999999999974,-319.9922197588692
40,4,6.36,6.36,3.23,-72.79999999999973,-319.9922197588692
41,4,6.36,6.36,3.23,-61.249999999999716,-319.9922197588692
42,4,6.36,6.36,3.23,-49.699999999999704,-319.9922197588692
43,4,6.36,6.36,3.23,-38.14999999999969,-319.9922197588692
44,4,6.36,6.36,3.23,-26.59999999999968,-319.9922197588692
45,4,6.36,6.36,3.23,-15.04999999999967,-319.9922197588692
46,4,6.36,6.36,3.23,-3.499999999999659,-319.9922197588692
47,4,6.36,6.36,3.23,8.050000000000352,-319.9922197588692
48,4,6.36,6.36,3.23,19.600000000000364,-319.9922197588692
49,4,6.36,6.36,3.23,31.150000000000375,-319.9922197588692
50,4,6.36,6.36,3.23,42.70000000000039,-319.9922197588692
51,4,6.36,6.36,3.23,54.2500000000004,-319.9922197588692
52,4,6.36,6.36,3.23,65.80000000000041,-319.9922197588692
53,4,6.36,6.36,3.23,77.35000000000042,-319.9922197588692
54,4,6.36,6.36,3.23,88.90000000000043,-319.9922197588692
55,4,6.36,6.36,3.23,100.45000000000044,-319.9922197588692
56,4,6.36,6.36,3.23,112.00000000000045,-319.9922197588692
57,4,6.36,6.36,3.23,123.55000000000047,-319.9922197588692
58,4,6.36,6.36,3.23,135.10000000000048,-319.9922197588692
59,4,6.36,6.36,3.23,-159.4249999999998,-309.98962634515897
60,4,6.36,6.36,3.23,-147.8749999999998,-309.98962634515897
61,4,6.36,6.36,3.23,-136.3249999999998,-309.98962634515897
62,4,6.36,6.36,3.23,-124.77499999999978,-309.98962634515897
63,4,6.36,6.36,3.23,-113.22499999999977,-309.98962634515897
64,4,6.36,6.36,3.23,-101.67499999999976,-309.98962634515897
65,4,6.36,6.36,3.23,-90.12499999999974,-309.98962634515897
66,4,6.36,6.36,3.23,-78.57499999999973,-309.98962634515897
67,4,6.36,6.36,3.23,-67.02499999999972,-309.98962634515897
68,4,6.36,6.36,3.23,-55.47499999999972,-309.98962634515897
69,4,6.36,6.36,3.23,-43.924999999999706,-309.98962634515897
70,4,6.36,6.36,3.23,-32.374999999999694,-309.98962634515897
71,4,6.36,6.36,3.23,-20.824999999999683,-309.98962634515897
72,4,6.36,6.36,3.23,-9.27499999999967,-309.98962634515897
73,4,6.36,6.36,3.23,2.2750000000003414,-309.98962634515897
74,4,6.36,6.36,3.23,13.825000000000353,-309.98962634515897
75,4,6.36,6.36,3.23,25.375000000000362,-309.98962634515897
76,4,6.36,6.36,3.23,36.925000000000374,-309.98962634515897
77,4,6.36,6.36,3.23,48.475000000000385,-309.98962634515897
78,4,6.36,6.36,3.23,60.0250000000004,-309.98962634515897
79,4,6.36,6.36,3.23,71.57500000000041,-309.98962634515897
80,4,6.36,6.36,3.23,83.12500000000043,-309.98962634515897
81,4,6.36,6.36,3.23,94.67500000000044,-309.98962634515897
82,4,6.36,6.36,3.23,106.22500000000045,-309.98962634515897
83,4,6.36,6.36,3.23,117.77500000000046,-309.98962634515897
84,4,6.36,6.36,3.23,129.32500000000047,-309.98962634515897
85,4,6.36,6.36,3.23,140.87500000000048,-309.98962634515897
86,4,6.36,6.36,3.23,152.4250000000005,-309.98962634515897
87,4,6.36,6.36,3.23,-176.74999999999983,-299.9870329314487
88,4,6.36,6.36,3.23,-165.19999999999982,-299.9870329314487
89,4,6.36,6.36,3.23,-153.6499999999998,-299.9870329314487
90,4,6.36,6.36,3.23,-142.0999999999998,-299.9870329314487
91,4,6.36,6.36,3.23,-130.54999999999978,-299.9870329314487
92,4,6.36,6.36,3.23,-118.99999999999977,-299.9870329314487
93,4,6.36,6.36,3.23,-107.44999999999976,-299.9870329314487
94,4,6.36,6.36,3.23,-95.89999999999975,-299.9870329314487
95,4,6.36,6.36,3.23,-84.34999999999974,-299.9870329314487
96,4,6.36,6.36,3.23,-72.79999999999973,-299.9870329314487
97,4,6.36,6.36,3.23,-61.249999999999716,-299.9870329314487
98,4,6.36,6.36,3.23,-49.699999999999704,-299.9870329314487
99,4,6.36,6.36,3.23,-38.14999999999969,-299.9870329314487
100,4,6.36,6.36,3.23,-26.59999999999968,-299.9870329314487
101,4,6.36,6.36,3.23,-15.04999999999967,-299.9870329314487
102,4,6.36,6.36,3.23,-3.499999999999659,-299.9870329314487
103,4,6.36,6.36,3.23,8.050000000000352,-299.9870329314487
104,4,6.36,6.36,3.23,19.600000000000364,-299.9870329314487
105,4,6.36,6.36,3.23,31.150000000000375,-299.9870329314487
106,4,6.36,6.36,3.23,42.70000000000039,-299.9870329314487
107,4,6.36,6.36,3.23,54.2500000000004,-299.9870329314487
108,4,6.36,6.36,3.23,65.80000000000041,-299.9870329314487
109,4,6.36,6.36,3.23,77.35000000000042,-299.9870329314487
110,4,6.36,6.36,3.23,88.90000000000043,-299.9870329314487
111,4,6.36,6.36,3.23,100.45000000000044,-299.9870329314487
112,4,6.36,6.36,3.23,112.00000000000045,-299.9870329314487
113,4,6.36,6.36,3.23,123.55000000000047,-299.9870329314487
114,4,6.36,6.36,3.23,135.10000000000048,-299.9870329314487
115,4,6.36,6.36,3.23,146.6500000000005,-299.9870329314487
116,4,6.36,6.36,3.23,158.20000000000044,-299.9870329314487
117,4,6.36,6.36,3.23,169.7500000000005,-299.9870329314487
118,4,6.36,6.36,3.23,-194.07499999999985,-289.98443951773845
119,4,6.36,6.36,3.23,-182.52499999999984,-289.98443951773845
120,4,6.36,6.36,3.23,-170.97499999999982,-289.98443951773845
121,4,6.36,6.36,3.23,-159.4249999999998,-289.98443951773845
122,4,6.36,6.36,3.23,-147.8749999999998,-289.98443951773845
123,4,6.36,6.36,3.23,-136.3249999999998,-289.98443951773845
124,4,6.36,6.36,3.23,-124.77499999999978,-289.98443951773845
125,4,6.36,6.36,3.23,-113.22499999999977,-289.98443951773845
126,4,6.36,6.36,3.23,-101.67499999999976,-289.98443951773845
127,4,6.36,6.36,3.23,-90.12499999999974,-289.98443951773845
128,4,6.36,6.36,3.23,-78.57499999999973,-289.98443951773845
129,4,6.36,6.36,3.23,-67.02499999999972,-289.98443951773845
130,4,6.36,6.36,3.23,-55.47499999999972,-289.98443951773845
131,4,6.36,6.36,3.23,-43.924999999999706,-289.98443951773845
132,4,6.36,6.36,3.23,-32.374999999999694,-289.98443951773845
133,4,6.36,6.36,3.23,-20.824999999999683,-289.98443951773845
134,4,6.36,6.36,3.23,-9.27499999999967,-289.98443951773845
135,4,6.36,6.36,3.23,2.2750000000003414,-289.98443951773845
136,4,6.36,6.36,3.23,13.825000000000353,-289.98443951773845
137,4,6.36,6.36,3.23,25.375000000000362,-289.98443951773845
138,4,6.36,6.36,3.23,36.925000000000374,-289.98443951773845
139,4,6.36,6.36,3.23,48.475000000000385,-289.98443951773845
140,4,6.36,6.36,3.23,60.0250000000004,-289.98443951773845
141,4,6.36,6.36,3.23,71.57500000000041,-289.98443951773845
142,4,6.36,6.36,3.23,83.12500000000043,-289.98443951773845
143,4,6.36,6.36,3.23,94.67500000000044,-289.98443951773845
144,4,6.36,6.36,3.23,106.22500000000045,-289.98443951773845
145,4,6.36,6.36,3.23,117.77500000000046,-289.98443951773845
146,4,6.36,6.36,3.23,129.32500000000047,-289.98443951773845
147,4,6.36,6.36,3.23,140.87500000000048,-289.98443951773845
148,4,6.36,6.36,3.23,152.4250000000005,-289.98443951773845
149,4,6.36,6.36,3.23,163.97500000000045,-289.98443951773845
150,4,6.36,6.36,3.23,175.52500000000052,-289.98443951773845
151,4,6.36,6.36,3.23,187.07500000000059,-289.98443951773845
152,4,6.36,6.36,3.23,-199.84999999999985,-279.9818461040282
153,4,6.36,6.36,3.23,-188.29999999999984,-279.9818461040282
154,4,6.36,6.36,3.23,-176.74999999999983,-279.9818461040282
155,4,6.36,6.36,3.23,-165.19999999999982,-279.9818461040282
156,4,6.36,6.36,3.23,-153.6499999999998,-279.9818461040282
157,4,6.36,6.36,3.23,-142.0999999999998,-279.9818461040282
158,4,6.36,6.36,3.23,-130.54999999999978,-279.9818461040282
159,4,6.36,6.36,3.23,-118.99999999999977,-279.9818461040282
160,4,6.36,6.36,3.23,-107.44999999999976,-279.9818461040282
161,4,6.36,6.36,3.23,-95.89999999999975,-279.9818461040282
162,4,6.36,6.36,3.23,-84.34999999999974,-279.9818461040282
163,4,6.36,6.36,3.23,-72.79999999999973,-279.9818461040282
164,4,6.36,6.36,3.23,-61.249999999999716,-279.9818461040282
165,4,6.36,6.36,3.23,-49.699999999999704,-279.9818461040282
166,4,6.36,6.36,3.23,-38.14999999999969,-279.9818461040282
167,4,6.36,6.36,3.23,-26.59999999999968,-279.9818461040282
168,4,6.36,6.36,3.23,-15.04999999999967,-279.9818461040282
169,4,6.36,6.36,3.23,-3.499999999999659,-279.9818461040282
170,4,6.36,6.36,3.23,8.050000000000352,-279.9818461040282
171,4,6.36,6.36,3.23,19.600000000000364,-279.9818461040282
172,4,6.36,6.36,3.23,31.150000000000375,-279.9818461040282
173,4,6.36,6.36,3.23,42.70000000000039,-279.9818461040282
174,4,6.36,6.36,3.23,54.2500000000004,-279.9818461040282
175,4,6.36,6.36,3.23,65.80000000000041,-279.9818461040282
176,4,6.36,6.36,3.23,77.35000000000042,-279.9818461040282
177,4,6.36,6.36,3.23,88.90000000000043,-279.9818461040282
178,4,6.36,6.36,3.23,100.45000000000044,-279.9818461040282
179,4,6.36,6.36,3.23,112.00000000000045,-279.9818461040282
180,4,6.36,6.36,3.23,123.55000000000047,-279.9818461040282
181,4,6.36,6.36,3.23,135.10000000000048,-279.9818461040282
