parameter,perturbation,feasible,duration_s,delta_duration_s
heading,-1.0 deg,True,4.531657452517228,-0.05632175753732227
heading,-0.5 deg,True,4.57298327492345,-0.014995935131100424
heading,-0.1 deg,True,4.587084982761597,-0.0008942272929530759
heading,+0.0 deg,True,4.5879792100545504,0.0
heading,+0.1 deg,True,4.552951709243458,-0.035027500811092516
heading,+0.5 deg,True,4.405383137924437,-0.18259607213011364
heading,+1.0 deg,True,4.209495165055747,-0.37848404499880317
speed,-1.0%,True,4.587407466847777,-0.0005717432067733341
speed,-0.5%,True,4.587694171098615,-0.0002850389559352351
speed,+0.0%,True,4.5879792100545504,0.0
speed,+0.5%,False,0.0,-4.5879792100545504
speed,+1.0%,False,0.0,-4.5879792100545504
drop_time,-0.10 s,True,4.579437956617868,-0.008541253436682439
drop_time,-0.05 s,True,4.584310050118257,-0.0036691599362930205
drop_time,-0.01 s,True,4.5873452535411845,-0.0006339565133659519
drop_time,+0.00 s,True,4.5879792100545504,0.0
drop_time,+0.01 s,True,4.533849448486782,-0.0541297615677685
drop_time,+0.05 s,True,4.314414044180619,-0.2735651658739311
drop_time,+0.10 s,True,4.039078295973764,-0.5489009140807868
delay,-0.10 s,True,4.580881264940742,-0.007097945113808457
delay,-0.05 s,True,4.5844653720883155,-0.003513837966234945
delay,-0.01 s,True,4.587281940367802,-0.0006972696867482142
delay,+0.00 s,True,4.5879792100545504,0.0
delay,+0.01 s,True,4.5260660115121825,-0.061913198542367986
delay,+0.05 s,True,4.273880995389329,-0.31409821466522114
delay,+0.10 s,True,3.9539329255485285,-0.634046284506022
cloud_radius,-5.0%,True,4.346296615438754,-0.24168259461579655
cloud_descent,-5.0%,True,4.702212429476967,0.11423321942241671
cloud_radius,-1.0%,True,4.539644843802999,-0.04833436625155141
cloud_descent,-1.0%,True,4.610904333812757,0.02292512375820621
cloud_radius,+0.0%,True,4.5879792100545504,0.0
cloud_descent,+0.0%,True,4.5879792100545504,0.0
cloud_radius,+1.0%,True,4.612625625153416,0.024646415098865226
cloud_descent,+1.0%,True,4.565031210362911,-0.022947999691639076
cloud_radius,+5.0%,True,4.708653403880792,0.12067419382624145
cloud_descent,+5.0%,True,4.473158268609435,-0.11482094144511557
